date,rank,track_id,name,artist,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,duration_minutes,danceability_normalized,energy_normalized,loudness_normalized,speechiness_normalized,acousticness_normalized,instrumentalness_normalized,liveness_normalized,valence_normalized,tempo_normalized
2024-09-09,28,3AJwUDP919kvQ9QcozQPxg,Yellow,Coldplay,89,0.429,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,173.372,266773,4,4.4462166666666665,0.25,0.5830985915492959,0.5176151761517614,0.010774142059058259,0.0014999039317729651,0.0003601190476190476,0.32302062541583504,0.21479935049872417,0.8933867904621231
2024-09-09,31,4xdBrk0nFZaP54vvZj0yx7,HOT TO GO!,Chappell Roan,92,0.742,0.757,6,-4.981,1,0.0421,0.0187,0.0,0.305,0.957,139.982,184841,4,3.0806833333333334,0.7242424242424242,0.7183098591549297,0.7610840108401083,0.06664006384676774,0.018347998372005098,0.0,0.44111776447105794,0.9942008814660172,0.6115551804178097
2024-09-09,30,3hRV0jL3vUpRrcy398teAU,The Night We Met,Lord Huron,90,0.448,0.369,9,-9.514,1,0.0452,0.968,0.272,0.638,0.0998,174.097,208212,3,3.4702,0.2787878787878788,0.171830985915493,0.2697018970189704,0.07901037509976055,0.9989670083114511,0.8095238095238095,0.9950099800399202,0.0,0.8995062249419712
2024-09-09,29,3qhlB30KknSejmIvZZLjOD,End of Beginning,Djo,92,0.689,0.454,2,-7.643,1,0.0584,0.0351,0.00259,0.0707,0.912,159.982,159246,4,2.6541,0.6439393939393939,0.2915492957746479,0.47252032520325205,0.13168395849960093,0.03528906206420663,0.007708333333333332,0.05139720558882235,0.9420088146601716,0.780367166068791
2024-09-09,37,1BJJbSX6muJVF2AK7uH1x4,Move,Adam Port,92,0.727,0.782,8,-8.529,0,0.042,0.0563,0.336,0.225,0.655,119.992,177599,4,2.959983333333333,0.7015151515151515,0.7535211267605635,0.37647696476964776,0.06624102154828412,0.05718848586144276,0.9999999999999999,0.3080505655355955,0.643934122013454,0.4428276007596541
2024-09-09,32,1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,Taylor Swift,92,0.552,0.702,9,-5.707,1,0.157,0.117,2.06e-05,0.105,0.564,169.994,178427,4,2.9737833333333334,0.4363636363636364,0.6408450704225352,0.6823848238482385,0.5251396648044692,0.11989108135635941,6.13095238095238e-05,0.10844976713240186,0.5383901646949664,0.8648744460856723
2024-09-09,38,3Vr3zh0r7ALn8VLqCiRR10,Stargazing,Myles Smith,92,0.635,0.601,1,-6.129,0,0.0295,0.246,0.0,0.11,0.332,123.994,172533,4,2.87555,0.5621212121212121,0.4985915492957747,0.636639566395664,0.016360734237829203,0.2531470091791641,0.0,0.11676646706586828,0.26931106471816285,0.47660687908841526
2024-09-09,50,7KA4W4McWYRpgf0fWsJZWB,See You Again (feat. Kali Uchis),"Tyler, The Creator",89,0.558,0.559,6,-9.222,1,0.0959,0.371,7.49e-06,0.109,0.62,78.558,180387,4,3.00645,0.44545454545454555,0.43943661971831,0.3013550135501356,0.2813248204309656,0.38227097024777335,2.2291666666666665e-05,0.11510312707917499,0.6033402922755742,0.09309981008651624
2024-09-09,40,3QaPy1KgI7nu9FJEQUgn6h,WILDFLOWER,Billie Eilish,90,0.467,0.247,6,-12.002,0,0.0431,0.612,0.000271,0.17,0.126,148.101,261467,4,4.357783333333333,0.3075757575757576,0.0,0.0,0.07063048683160414,0.631221967188052,0.0008065476190476188,0.21656686626746507,0.03038738111807006,0.6800844059928255
2024-09-09,41,7zOVh5fGpEwSbZd0g9z80B,Satu Bulan,Bernadya,86,0.436,0.299,0,-10.42,1,0.0392,0.942,0.0498,0.118,0.244,85.744,200476,4,3.341266666666667,0.2606060606060606,0.07323943661971827,0.1714905149051491,0.05506783719074221,0.9721092244091804,0.1482142857142857,0.1300731869594145,0.16724657852006491,0.15375395653091373
